,id,listing_url,latitude,longitude,neighbourhood_group_cleansed
0,21935608,https://www.airbnb.com/rooms/21935608,40.73179,-73.98679,Manhattan
1,743430766348459803,https://www.airbnb.com/rooms/743430766348459803,40.65375,-73.95502,Brooklyn
2,4539906,https://www.airbnb.com/rooms/4539906,40.75378,-73.99633,Manhattan
3,22122723,https://www.airbnb.com/rooms/22122723,40.8244,-73.94598,Manhattan
4,22434861,https://www.airbnb.com/rooms/22434861,40.6902,-73.91782,Brooklyn
8,41048929,https://www.airbnb.com/rooms/41048929,40.69495,-73.91028,Brooklyn
9,11943,https://www.airbnb.com/rooms/11943,40.63702,-73.96327,Brooklyn
12,4421826,https://www.airbnb.com/rooms/4421826,40.77371,-73.95007,Manhattan
13,49797045,https://www.airbnb.com/rooms/49797045,40.71656,-73.98923,Manhattan
14,7201169,https://www.airbnb.com/rooms/7201169,40.75322,-73.98176,Manhattan
15,7698619,https://www.airbnb.com/rooms/7698619,40.70939,-73.96758,Brooklyn
16,7293506,https://www.airbnb.com/rooms/7293506,40.78629,-73.98056,Manhattan
17,8014811,https://www.airbnb.com/rooms/8014811,40.70695,-73.94101,Brooklyn
18,9597629,https://www.airbnb.com/rooms/9597629,40.66661,-73.98103,Brooklyn
19,10334395,https://www.airbnb.com/rooms/10334395,40.68207,-73.9293,Brooklyn
20,9927400,https://www.airbnb.com/rooms/9927400,40.71147,-73.96745,Brooklyn
21,11817955,https://www.airbnb.com/rooms/11817955,40.66372,-73.99147,Brooklyn
22,13239693,https://www.airbnb.com/rooms/13239693,40.73428,-73.95632,Brooklyn
28,7900119,https://www.airbnb.com/rooms/7900119,40.70875,-73.95033,Brooklyn
29,45277537,https://www.airbnb.com/rooms/45277537,40.76661,-73.9881,Manhattan
30,31120812,https://www.airbnb.com/rooms/31120812,40.80538,-73.96518,Manhattan
32,23978220,https://www.airbnb.com/rooms/23978220,40.72658,-73.74218,Queens
33,32013622,https://www.airbnb.com/rooms/32013622,40.86635,-73.92253,Manhattan
34,41793009,https://www.airbnb.com/rooms/41793009,40.79442,-73.94127,Manhattan
36,2257080,https://www.airbnb.com/rooms/2257080,40.75386,-73.99289,Manhattan
39,655078246813206852,https://www.airbnb.com/rooms/655078246813206852,40.75144,-73.97493,Manhattan
40,3857863,https://www.airbnb.com/rooms/3857863,40.8356,-73.9425,Manhattan
41,4774629,https://www.airbnb.com/rooms/4774629,40.65713,-73.9537,Brooklyn
42,21515092,https://www.airbnb.com/rooms/21515092,40.7052,-73.9146,Queens
45,892641611171517577,https://www.airbnb.com/rooms/892641611171517577,40.75105638180844,-73.97546678739614,Manhattan
47,40896611,https://www.airbnb.com/rooms/40896611,40.75112,-73.9786,Manhattan
48,20622825,https://www.airbnb.com/rooms/20622825,40.70759,-73.92254,Brooklyn
49,21421478,https://www.airbnb.com/rooms/21421478,40.7839,-73.97638,Manhattan
50,21754946,https://www.airbnb.com/rooms/21754946,40.76359,-73.96575,Manhattan
51,49584983,https://www.airbnb.com/rooms/49584983,40.75995,-73.99296,Manhattan
57,27906875,https://www.airbnb.com/rooms/27906875,40.76488,-73.99076,Manhattan
59,53214934,https://www.airbnb.com/rooms/53214934,40.76966,-73.99254,Manhattan
60,22336423,https://www.airbnb.com/rooms/22336423,40.82221,-73.90325,Bronx
62,45457047,https://www.airbnb.com/rooms/45457047,40.76737,-73.98787,Manhattan
63,23001611,https://www.airbnb.com/rooms/23001611,40.72966,-73.98081,Manhattan
64,45847112,https://www.airbnb.com/rooms/45847112,40.76519,-73.99013,Manhattan
65,15021783,https://www.airbnb.com/rooms/15021783,40.73965,-73.9987,Manhattan
67,17872922,https://www.airbnb.com/rooms/17872922,40.71012,-73.95796,Brooklyn
70,18762619,https://www.airbnb.com/rooms/18762619,40.72641,-73.9893,Manhattan
71,20125262,https://www.airbnb.com/rooms/20125262,40.72582,-73.95556,Brooklyn
72,19280212,https://www.airbnb.com/rooms/19280212,40.71153,-73.95312,Brooklyn
77,20227482,https://www.airbnb.com/rooms/20227482,40.70783,-73.94445,Brooklyn
78,14036591,https://www.airbnb.com/rooms/14036591,40.70756,-73.95091,Brooklyn
79,20280692,https://www.airbnb.com/rooms/20280692,40.78106,-73.91137,Queens
82,14709693,https://www.airbnb.com/rooms/14709693,40.86297,-73.92774,Manhattan
83,15713028,https://www.airbnb.com/rooms/15713028,40.67955,-73.94073,Brooklyn
85,26232008,https://www.airbnb.com/rooms/26232008,40.80204,-73.96642,Manhattan
87,16396640,https://www.airbnb.com/rooms/16396640,40.77838,-73.94887,Manhattan
89,17045905,https://www.airbnb.com/rooms/17045905,40.72489,-73.98854,Manhattan
90,24818439,https://www.airbnb.com/rooms/24818439,40.7814,-73.95058,Manhattan
91,17367484,https://www.airbnb.com/rooms/17367484,40.76068,-73.90926,Queens
92,895681617796889995,https://www.airbnb.com/rooms/895681617796889995,40.65891327003646,-73.9895897321432,Brooklyn
93,18090441,https://www.airbnb.com/rooms/18090441,40.65835,-73.96204,Brooklyn
94,22302587,https://www.airbnb.com/rooms/22302587,40.7199,-73.95662,Brooklyn
95,28216267,https://www.airbnb.com/rooms/28216267,40.76002,-73.99708,Manhattan
96,22306777,https://www.airbnb.com/rooms/22306777,40.69533,-73.9309,Brooklyn
103,24431407,https://www.airbnb.com/rooms/24431407,40.76039,-73.91846,Queens
104,26448665,https://www.airbnb.com/rooms/26448665,40.74347,-73.91396,Queens
105,25421873,https://www.airbnb.com/rooms/25421873,40.71555,-73.94481,Brooklyn
106,22387975,https://www.airbnb.com/rooms/22387975,40.71953,-73.94078,Brooklyn
108,20934581,https://www.airbnb.com/rooms/20934581,40.84622,-73.94002,Manhattan
110,24635041,https://www.airbnb.com/rooms/24635041,40.69549,-73.90848,Brooklyn
112,24852797,https://www.airbnb.com/rooms/24852797,40.70307,-73.91742,Brooklyn
114,782436079416449092,https://www.airbnb.com/rooms/782436079416449092,40.69145,-73.94837,Brooklyn
116,27678632,https://www.airbnb.com/rooms/27678632,40.80526,-73.96658,Manhattan
